Заболели;Умерли;Вылечились;Активные случаи
США;44317553;712972;0;-1
Индия;33953475;450589;0;33502886
Бразилия;21567181;600829;0;20966352
Великобритания;8132560;137797;0;-1
Россия;7775365;216415;6858119;700831
Турция;7416152;65984;0;7350168
Франция;6900540;114952;0;-1
Иран;5691634;122370;0;5569264
Аргентина;5265528;115458;0;5150070
Испания;4973619;86778;0;-1
Колумбия;4970718;126585;0;4844133
Италия;4698038;131274;0;4566764
Германия;4312528;94206;0;4218322
Индонезия;4227038;142612;0;4084426
Мексика;3714392;281610;0;3432782
Польша;2920874;75864;0;2845010
ЮАР;2911497;88292;0;2823205
Филиппины;2654450;39505;0;2614945
Украина;2645597;62157;0;2583440
Малайзия;2332221;27265;0;2304956
Перу;2183589;199641;0;1983948
Нидерланды;2023650;18224;0;-1
Ирак;2022109;22537;0;1999572
Япония;1711207;17945;0;1693262
Таиланд;1700067;17607;0;1682460
Чехия;1699074;30499;0;1668575
Канада;1665312;28246;0;1637066
Чили;1661370;37554;0;1623816
Бангладеш;1561878;27674;0;1534204
Румыния;1346240;39209;0;1307031
Израиль;1304356;7897;0;1296459
Бельгия;1261102;25675;0;-1
Пакистан;1258015;28106;0;1229909
Швеция;1157822;14905;0;-1
Португалия;1074813;18034;0;1056779
Сербия;1000365;8683;0;-1
Казахстан;981129;16346;0;964783
Марокко;938801;14442;0;924359
Куба;914779;7812;0;906967
Швейцария;848418;11120;0;837298
Вьетнам;836134;20442;0;815692
Иордания;832399;10802;0;821597
Венгрия;827410;30275;0;797135
Непал;801633;11221;0;790412
Австрия;759543;11090;0;748453
ОАЭ;737655;2113;0;735542
Тунис;709456;24996;0;684460
Греция;675479;15105;0;660374
Грузия;631563;9221;0;622342
Ливан;629561;8382;0;621179
Гватемала;578809;13986;0;564823
Белоруссия;555793;4275;0;551518
Саудовская Аравия;547532;8743;0;538789
Коста-Рика;544021;6612;0;537409
Шри-Ланка;525663;13296;0;512367
Болгария;520241;21616;0;498625
Эквадор;511699;32836;0;478863
Боливия;503432;18789;0;484643
Азербайджан;491147;6654;0;484493
Мьянма ;477333;18104;0;459229
Панама;468963;7264;0;461699
Парагвай;460171;16206;0;443965
Палестинские территории;441882;4465;0;437417
Словакия;424407;12729;0;411678
Хорватия;416950;8763;0;408187
Кувейт;412048;2454;0;409594
Ирландия;401773;5280;0;396493
Уругвай;389935;6063;0;383872
Венесуэла;382266;4606;0;377660
Гондурас;369030;9948;0;359082
Доминиканская Республика;365063;4067;0;360996
Дания;363356;2669;0;360687
Эфиопия;354033;5950;0;348083
Литва;350029;5209;0;344820
Ливия;345451;4757;0;340694
Южная Корея;331519;2575;0;328944
Монголия;323322;1419;0;321903
Египет;311576;17658;0;293918
Молдова;305977;6980;0;298997
Оман;303915;4101;0;299814
Словения;300969;4607;0;296362
Бахрейн;275597;1390;0;274207
Армения;271205;5529;0;265676
Кения;251057;5181;0;245876
